104.35.238.164 - - [06/Aug/2023:21:20:19 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.005
104.35.238.164 - - [06/Aug/2023:21:20:19 +0000] "GET /filter HTTP/1.1" 500 265 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
54.160.249.109 - - [06/Aug/2023:21:23:25 +0000] "GET / HTTP/1.1" 200 1707 "-" "python-requests/2.28.1" "54.160.249.109" response-time=0.016
104.35.238.164 - - [06/Aug/2023:21:23:28 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:23:28 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.005
104.35.238.164 - - [06/Aug/2023:21:23:30 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.005
104.35.238.164 - - [06/Aug/2023:21:23:31 +0000] "GET /filter HTTP/1.1" 500 265 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.528
54.160.249.109 - - [06/Aug/2023:21:25:20 +0000] "GET / HTTP/1.1" 200 1707 "-" "python-requests/2.28.1" "54.160.249.109" response-time=0.017
104.35.238.164 - - [06/Aug/2023:21:25:26 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:25:26 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.005
104.35.238.164 - - [06/Aug/2023:21:25:27 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
